hsv_mean_h,hsv_mean_s,hsv_mean_v,hsv_std_h,hsv_std_s,hsv_std_v,hog_mean,hog_std,hog_max,glcm_contrast_0,glcm_contrast_90,glcm_correlation_0,glcm_correlation_90,glcm_energy_0,glcm_energy_90,glcm_homogeneity_0,glcm_homogeneity_90,target_label
0,0,164.3455811,0,0,39.4460779,0.116489465,0.085226392,0.498248226,112.0186121,71.25208333,0.963979169,0.977062408,0.043287246,0.044437674,0.410190532,0.420617146,haze
87.72505188,26.61727905,122.9151001,33.25525795,22.39374617,53.22982931,0.109102583,0.094498465,0.465151057,21.56634498,13.56061581,0.995978671,0.997462578,0.041992358,0.04384101,0.576446244,0.591904395,haze
104.1423645,62.61871338,161.5409698,39.07247407,55.23135274,43.53262684,0.106340682,0.097596069,0.483313882,40.54515931,27.79278493,0.981192172,0.987097364,0.059304724,0.046385188,0.673107186,0.56585298,haze
131.4012604,14.51286316,145.1450348,33.4454268,19.43605518,48.6326651,0.106071437,0.097888628,0.678052816,18.54906556,23.46780025,0.996190978,0.995120419,0.042161385,0.042739834,0.653644888,0.644959219,haze
30.93736267,23.60031128,122.4169922,24.77006684,12.12893239,49.80240136,0.097170451,0.106729737,0.62942804,59.99987745,31.73325674,0.986441059,0.992817453,0.078499744,0.086775327,0.55850422,0.634558029,haze
0,0,131.3401184,0,0,24.65593771,0.091634725,0.111518655,0.640292711,35.92783395,53.61109069,0.970501224,0.955724303,0.10627628,0.092282491,0.755836981,0.681884587,haze
88.6472168,23.89842224,201.0414124,38.35530577,20.29660165,32.83343724,0.115327622,0.086792125,0.462439619,49.06547181,15.71073836,0.982982693,0.994535009,0.057912156,0.066964977,0.417991253,0.501346795,haze
100.6926575,10.40298462,138.5198517,49.03142015,18.25228457,37.84828945,0.097057031,0.106832889,0.592674929,188.1279412,107.047258,0.935507198,0.962870416,0.060775285,0.072528833,0.586643932,0.690388629,haze
66.64717102,3.862442017,148.3058167,45.0816047,3.67026418,33.13073239,0.088203113,0.114252108,0.483184794,3.794592525,3.852696078,0.99825729,0.998213088,0.08758928,0.076906028,0.81131301,0.723035636,haze
63.65640259,20.26385498,189.3598938,41.97768225,29.35253916,60.29714724,0.105210176,0.084685062,0.707106781,191.3418658,176.7506127,0.975684375,0.977741371,0.24310105,0.241573705,0.397575947,0.39603269,haze
58.07070923,4.836975098,208.1376648,29.43964026,4.360414866,22.51125817,0.100981428,0.103131395,0.544669803,7.078523284,4.71997549,0.993514924,0.995646721,0.110339483,0.11063927,0.702022212,0.725913232,haze
78.34759521,21.2880249,96.83534241,48.40652925,20.85670235,71.56689314,0.100857549,0.103252545,0.607029495,17.19954044,7.981954657,0.998234312,0.999178535,0.041296947,0.045342838,0.543021523,0.619881123,haze
56.9418335,58.69555664,112.4976044,47.14760936,45.32545709,53.53042075,0.112500847,0.090426173,0.400086726,10.41481311,10.81078431,0.997384283,0.99726356,0.050553982,0.046678736,0.596497148,0.578212201,haze
51.21250916,35.96611023,172.3509979,14.88622182,11.26951279,45.56364651,0.113438069,0.089247621,0.427811945,64.88147978,60.5096201,0.985206223,0.986184832,0.046682927,0.045510336,0.489369331,0.496460019,haze
77.72535706,9.527954102,160.444519,53.49364565,11.88180494,48.86476036,0.113435734,0.089250589,0.497421084,323.9245404,243.8709406,0.929300221,0.946507031,0.030702496,0.03225453,0.426823338,0.450190642,haze
44.71879578,8.793548584,117.7525024,32.62376774,5.325671162,31.89232056,0.117155703,0.084308211,0.420541622,17.42674632,22.84973958,0.991340856,0.988572008,0.043474404,0.040105284,0.527419519,0.481417676,haze
67.11907959,10.92463684,167.2471771,42.91636699,5.29926082,21.17318989,0.103795672,0.100298514,0.529384016,7.614751838,1.87466299,0.991846544,0.997982121,0.064965008,0.07081238,0.702368353,0.755797756,haze
20.38975525,52.5138092,150.6811676,2.24209046,7.202863911,19.81544757,0.105327494,0.098688664,0.38901239,1.872564338,0.546047794,0.997041381,0.999136358,0.071423453,0.085750352,0.699297103,0.804175298,haze
85.34136963,29.42364502,181.9285583,16.45285831,19.78099078,51.83871235,0.11719315,0.084256151,0.399897363,29.4625,22.2971201,0.995069973,0.99626578,0.038601722,0.040220605,0.472099875,0.489290893,haze
85.17762756,41.13577271,129.6556244,60.63209794,36.34050568,74.24619998,0.108747441,0.094906941,0.633460125,86.88828125,47.32578125,0.992095287,0.995697155,0.03396571,0.035036102,0.534895157,0.567264524,haze
16.67857361,57.95777893,163.4624786,3.423801169,17.04056609,52.16501079,0.112023783,0.091016512,0.449140644,25.08627451,14.01158088,0.99533161,0.997380146,0.041250154,0.043274837,0.533172632,0.549713984,haze
104.2489166,11.06526184,176.4490814,15.93579304,10.31338321,29.53124537,0.096476477,0.107357453,0.672216465,46.27369792,15.87780331,0.976063397,0.991793445,0.077809165,0.088366029,0.627397257,0.687721003,haze
